Year	Index	 Dividends	Riskfree	LogEqPrem	BookMarket	NTIS	DivPrice	EarnPrice	Inflation
1927	17.66	0.77	0.0317	0.280823174	0.37468859	0.07395473	-3.133	-2.767	-0.021175602
1928	24.35	0.85	0.0426	0.313824206	0.259666667	0.042639369	-3.355	-2.87	-0.009793164
1929	21.45	0.97	0.0303	-0.112428454	0.338457824	0.165576428	-3.096	-2.589	0.001829714
1930	15.34	0.98	0.0148	-0.288024845	0.554745413	0.13152474	-2.751	-2.761	-0.060665091
1931	8.12	0.82	0.0241	-0.563742385	1.170731707	-0.011031583	-2.293	-2.589	-0.095711494
1932	6.89	0.5	0.0004	-0.094602339	1.442084301	-0.003958788	-2.623	-2.822	-0.103577705
1933	10.1	0.44	0.0029	0.422210655	0.829026046	0.007436605	-3.134	-3.134	0.004298585
1934	9.5	0.45	0.0023	-0.017260232	0.773740869	0.022023953	-3.05	-2.965	0.02010409
1935	13.43	0.47	0.0015	0.379098165	0.559911191	0.009720124	-3.353	-2.872	0.029605318
1936	17.18	0.72	0.0012	0.286110422	0.458588105	0.02427943	-3.172	-2.824	0.011962564
1937	10.55	0.8	0.0011	-0.415627568	0.707488622	0.02712539	-2.579	-2.234	0.030851292
1938	13.21	0.51	0.0003	0.262428807	0.572039388	0.005394637	-3.254	-3.027	-0.027960921
1939	12.49	0.62	0.0004	-0.007998741	0.58070538	0.003439807	-3.003	-2.63	-0.004993176
1940	10.58	0.67	0.0002	-0.104760175	0.72904751	0.028550839	-2.759	-2.31	0.009512142
1941	8.69	0.71	0.0033	-0.121550304	0.889509733	-0.004252628	-2.505	-2.014	0.096548983
1942	9.77	0.59	0.0038	0.171986499	0.862646566	0.002303898	-2.807	-2.25	0.09243564
1943	11.67	0.61	0.0038	0.224862658	0.787401575	0.015373736	-2.951	-2.519	0.031335627
1944	13.28	0.64	0.0038	0.17251241	0.743763575	0.016624792	-3.033	-2.659	0.021012204
1945	17.36	0.66	0.0038	0.30143031	0.613239334	0.024466774	-3.27	-2.895	0.022415866
1946	15.3	0.71	0.0038	-0.08474798	0.692437923	0.037843868	-3.07	-2.67	0.17870343
1947	15.3	0.84	0.0095	0.043992676	0.725325679	0.028087761	-2.902	-2.252	0.089267308
1948	15.2	0.93	0.0116	0.041294828	0.840947547	0.015116519	-2.794	-1.893	0.026662928
1949	16.76	1.14	0.011	0.152565345	0.796429284	0.02716518	-2.688	-1.977	-0.018168853
1950	20.41	1.47	0.0134	0.253266868	0.722538442	0.031366259	-2.631	-1.972	0.057629009
1951	23.77	1.41	0.0173	0.192872993	0.721316347	0.036118982	-2.825	-2.276	0.05846513
1952	26.57	1.41	0.0209	0.142381097	0.694073313	0.026516541	-2.936	-2.404	0.008764203
1953	24.81	1.45	0.016	-0.02760924	0.759700961	0.02484663	-2.84	-2.291	0.006202167
1954	35.98	1.54	0.0115	0.402192949	0.604119785	0.026669017	-3.151	-2.564	-0.004995257
1955	45.48	1.64	0.0254	0.24465153	0.50982801	0.0252401	-3.323	-2.531	0.003724327
1956	46.67	1.74	0.0321	0.030838173	0.544176827	0.026167963	-3.289	-2.616	0.028521339
1957	39.99	1.79	0.0304	-0.14063088	0.653675779	0.034716195	-3.106	-2.474	0.030172203
1958	55.21	1.75	0.0277	0.326396549	0.51177932	0.023682137	-3.452	-2.95	0.017556949
1959	59.89	1.83	0.0449	0.067542744	0.457783797	0.022852606	-3.488	-2.872	0.014965568
1960	58.11	1.95	0.0225	-0.019416093	0.550422965	0.022699498	-3.395	-2.878	0.014741035
1961	71.55	2.02	0.026	0.210231821	0.505922258	0.022323161	-3.567	-3.11	0.006705221
1962	63.1	2.13	0.0287	-0.120772889	0.591627051	0.019945215	-3.389	-2.845	0.012209375
1963	75.02	2.28	0.0352	0.168378541	0.525591454	0.008954678	-3.494	-2.926	0.016458888
1964	84.75	2.5	0.0384	0.113341749	0.4872273	0.023094426	-3.523	-2.925	0.011878316
1965	92.43	2.72	0.0438	0.072880947	0.430637806	0.020837183	-3.526	-2.88	0.019195488
1966	80.33	2.87	0.0496	-0.153613393	0.576945106	0.017207926	-3.332	-2.672	0.033473675
1967	96.47	2.92	0.0497	0.164403946	0.525792445	0.014361073	-3.498	-2.896	0.030378838
1968	103.86	3.07	0.0596	0.045050857	0.504900662	0.031961491	-3.521	-2.892	0.047143776
1969	92.06	3.16	0.0782	-0.162146819	0.651082013	0.034273783	-3.372	-2.768	0.060918883
1970	92.15	3.14	0.0487	-0.013066967	0.646426358	0.031468174	-3.379	-2.888	0.054782072
1971	102.09	3.07	0.0401	0.092748453	0.643900247	0.034023359	-3.504	-2.885	0.033524099
1972	118.05	3.15	0.0507	0.122130688	0.595674595	0.034203484	-3.624	-2.912	0.034062636
1973	97.55	3.38	0.0745	-0.228536493	0.755588463	0.013007395	-3.362	-2.481	0.08756386
1974	68.56	3.6	0.0715	-0.370538727	1.120018175	0.008845955	-2.947	-2.043	0.121372547
1975	90.19	3.68	0.0544	0.261229687	0.876338851	0.023709429	-3.199	-2.427	0.06991222
1976	107.46	4.05	0.0435	0.169615269	0.779973125	0.028565706	-3.278	-2.384	0.04799947
1977	95.1	4.67	0.0607	-0.133180216	0.960333025	0.030475541	-3.014	-2.167	0.067484139
1978	96.11	5.07	0.0908	-0.024939233	1.045701296	0.014874873	-2.942	-2.053	0.089918247
1979	107.94	5.65	0.1204	0.053416341	1.061950068	0.010549299	-2.95	-1.983	0.132330995
1980	135.76	6.16	0.1549	0.129674241	0.891503024	0.026816359	-3.093	-2.215	0.12324694
1981	122.55	6.63	0.1085	-0.15268959	1.061142857	0.011909554	-2.917	-2.077	0.089009813
1982	140.64	6.87	0.0794	0.108971529	0.932214727	0.002990054	-3.019	-2.409	0.038541081
1983	164.93	7.09	0.09	0.115229619	0.700359118	0.02702469	-3.147	-2.464	0.037878352
1984	167.24	7.53	0.0806	-0.01956676	0.733098377	-0.027196787	-3.101	-2.308	0.039457235
1985	211.28	7.9	0.071	0.201870612	0.592692688	-0.019465082	-3.286	-2.671	0.037653793
1986	242.17	8.28	0.0553	0.116249945	0.498430866	-0.011379026	-3.376	-2.817	0.011247972
1987	247.08	8.81	0.0577	-0.000989034	0.508812016	0.013274756	-3.334	-2.648	0.044241992
1988	277.72	9.73	0.0807	0.073727782	0.465283574	-0.021511533	-3.351	-2.459	0.044098837
1989	353.4	11.05	0.0763	0.198246723	0.390454744	-0.012323107	-3.465	-2.738	0.046366161
1990	330.22	12.09	0.0674	-0.097109586	0.48449686	-0.001841458	-3.307	-2.739	0.060849892
1991	417.09	12.2	0.0407	0.222480019	0.420344417	0.031565402	-3.532	-3.263	0.030591052
1992	435.71	12.38	0.0322	0.039999633	0.394109614	0.038733124	-3.561	-3.128	0.028958759
1993	466.45	12.58	0.0306	0.064645185	0.305267223	0.045748758	-3.613	-3.059	0.0274382
1994	459.27	13.18	0.056	-0.041707097	0.2915683	0.016594757	-3.551	-2.709	0.026709258
1995	615.93	13.79	0.0514	0.265514394	0.255026383	0.015641026	-3.799	-2.898	0.025341322
1996	740.74	14.9	0.0491	0.156499098	0.20734273	0.024100872	-3.906	-2.951	0.03316242
1997	970.43	15.49	0.0516	0.235612715	0.178800884	0.015578728	-4.138	-3.196	0.016999183
1998	1229.23	16.2	0.0439	0.206533159	0.173611315	0.020063152	-4.329	-3.484	0.016104074
1999	1469.25	16.69	0.052	0.138966497	0.147167259	0.017962181	-4.478	-3.418	0.026789226
2000	1320.28	16.27	0.0577	-0.150757139	0.151851504	-0.006431545	-4.396	-3.274	0.033868093
2001	1148.08	15.74	0.0169	-0.142894921	0.131217846	0.016006414	-4.29	-3.839	0.015517241
2002	879.82	16.077	0.0119	-0.259850562	0.295385896	0.026255442	-4.002	-3.462	0.0237691
2003	1111.92	17.385	0.009	0.240680596	0.218739865	0.00691569	-4.158	-3.127	0.018794915
2004	1211.92	19.44	0.0219	0.080367359	0.270619243	0.01287137	-4.133	-3.03	0.032555616
2005	1248.29	22.22	0.0389	0.009050055	0.313477957	0.002991251	-4.029	-2.882	0.034156595
2006	1418.3	24.881	0.0485	0.097714519	0.2816824	-0.015384476	-4.043	-2.856	0.025406504
2007	1468.36	27.731	0.03	0.023834725	0.250582973	-0.041810872	-3.969	-3.1	0.040812686
2008	903.25	28.387	0.0003	-0.455254843	0.354984225	-0.024399237	-3.46	-4.106	0.000914129
2009	1115.1	22.407	0.0005	0.230095315	0.32553066	0.01056087	-3.907	-3.085	0.027213311
2010	1257.64	22.73	0.0014	0.136805991	0.358100317	0.01255593	-4.013	-2.789	0.014957235
2011	1257.6	26.425	0.0001	0.020662732	0.357232541	-0.006504662	-3.863	-2.672	0.029624188
2012	1426.19	31.247	0.0007	0.146774516	0.349032443	-0.012254913	-3.821	-2.803	0.017410224
2013	1848.36	34.99	0.0007	0.277345798	0.304408126	0.012183503	-3.967	-2.915	0.015017356
